codeCn,cn,codePinyin,pinyin,codeEn,en,codeFr,fr,isFavorite
tteg,中性,zx,zhōng xìng ,, neutral ; neuter,, F.neutre,
ttel,挥霍,hh,huī huò ,, spend freely ; squander,, F.être prodigue de son argent,
ttel,中班,zb,zhōng bān ,, the middle class in a kindergarten ; middle shift,, F.classe moyenne ; équipe de jour,
ttet,牵挂,qg,qiān guà ,, worry  ; care,, F.être en souci de ; tracasser ; préoccupé,
ttf,奉,f,fèng ,,give or present with respect ; receive ; believe in ; esteem ;revere ; attend to ,, F.présenter avec les deux mains ; recevoir des deux mains ; ,
ttf,中士,zs,zhōng shì ,,sergeant ; staff sergent ; petty officer second class ; petty officer first class,," F.sergent, second maître",
ttfi,中坚,zj,zhōng jiān ,, nucleus ; hard core ; backbone,, F.pilier ; noyau ; ossature,
ttfl,中型,zx,zhōng xíng ,, medium-sized ; middle-sized,," F.de taille moyenne, de dimension ou d'importance moyenne",
ttfu,种种理由,zzly,zhǒng zhǒng lǐ yóu ,, all sorts of reasons,, F.toutes sortes de raison,
ttg,革,g,gé ,, leather ; hide ; change ; transform ; remove from office ; expel,, F.cuir ; changer ; transformer ; éliminer,
ttg,中心,zx,zhōng xīn ,, center ; heart ; core ; hub,, F.centre ; cœur ; nœud,
ttgh,挥,h,huī ,, wave ; wield ; wipe off ; command an army,, F.agiter ; mouvoir,
ttgj,挿,插,ソウ、さ-す,," insert, drive ",," F.insérer, ficher",
ttgj,幹,梗,カン、みき,,stem,, F.Tige,
ttgj,揮,挥发,キ,, volatilize,," F.se volatiliser, volatilisation",
ttgq,牵涉,qs,qiān shè ,, concern ; drag in ; involve,, F.impliquer dans une affaire ; compromettre,
ttgq,中意,zy,zhōng yì ,, be to one's liking ; catch the fancy of,, F.conforme aux désirs aux sentiments,
tth,華,h,huá ,," slip ; slide, (of a surface) slippery",," F.lisse, poli, glissant",
tthg,挥刀,hd,huī dāo ,, brandish a sword,, F.brandir l'épée,
tthg,中伤,zs,zhōng shāng ,, slander ; malign ; vilify,, F.calomnier ; diffamer ; discréditer,
tthl,抖动,dd,dǒu dòng ,, shake ; tremble ; vibrate,, F.trembler ; secouer ; réussir ; faire fortune,
tthl,奉劝,fq,fèng quàn ,, may I offer a piece of advice,," F.donner respectueusement  des conseils, des avis à qn. ;  conseiller",
tthl,挥动,hd,huī dòng ,, brandish ; wave,, F.agiter ; brandir,
ttho,千辛万苦,qxwk,qiān xīn wàn kǔ ,, innumerable trials and tribulations ; untold hardships,, F.mille peines ; dix mille souffrances ; au prix de mille fatigues,
tti,草,i,cǎo ,, grass ; straw ; careless ; hasty ; rough ; draft,," F.herbe ; paille ; baclé ; rustique écriture cursive ; brouillon ;projet ; rédiger un brouillon, un projet ",
ttid,掉,d,diào ,, frall ; drop ; shed ; come off  ; change ; exchange,, F.tomber ; perdre ; omettre ; agiter ; remuer ; déplacer ;retourner ; changer ; échanger ,
ttig,中介,zj,zhōng jiè ,, intermediary ; medium,," F.intermédiaire, milieu",
ttii,中听,zt,zhōng tīng ,, pleasant to the ear ; agreeable to the hearer,, F.agréable ; chatouiller les oreilles,
ttij,押,压机,オウ、お-す、お-さえる,,press,, F.Appuyez,
ttil,牵引,qy,qiān yǐn ,, tow ; draw ; haul,, F.tirer ; attirer ; entraîner ; remorquer,
ttil,中断,zd,zhōng duàn ,,  suspend ; break off ; discontinue,, F.interrompre ; suspendre ; interruption,
ttiq,奉养,fy,fèng yǎng ,, support and wait upon,, F.entretenir ; supporter ; aux petits soins auprès de,
ttiq,革新,gx,gé xīn ,, innovate ; innovation        ,, F.reformer ; innover ; réformer ; innovation,
ttj,車,汽车,シャ、くるま,, automobile ,," F.automobile, auto ",
ttj,奉,奉,ホウ、（ブ）、たてまつ-る,,give or present with respect ; receive ; believe in ; esteem ;revere ; attend to ,, F.présenter avec les deux mains ; recevoir des deux mains ; ,
ttj,革,皮革,カク、かわ,, leather ; hide,, F.cuir,
ttj,華,开花,カ、（ケ）、はな,,flowering,, F.Floraison,
ttj,申,申请,シン、もう-す,, apply for  ; application,," F.solliciter, faire une requête",
ttj,幸,运气,コウ、さいわ-い、さち、しあわ-せ,," lucky, luck",, F.chance ; bonheur ; veine,
ttj,中,中心,チュウ、（ジュウ）、なか,, center ; heart ; core ; hub,, F.centre ; cœur ; nœud,
ttjg,奉行,fx,fèng xīng  ,," pursue (a policy, etc.)",, F.suivre ; obéir à ; poursuivre (une politique),
ttjg,挥手,hs,huī shǒu ,, wave one's hand ; wave,, F.agiter la main ; faire signe de la main,
ttjg,牵制,qz,qiān zhì ,, pin down ; tie up ; check  ; contain,," F.gêner, embarrasser ; faire rester à ; faire obstruction ; contenir",
ttjg,中等,zd,zhōng děng ,,  secondary ; medium ; moderate ; middling,, F.de degré intermédiaire ; de qualité moyenne ; moyen ; secondaire,
ttji,中尉,zw,zhōng wèi ,, frirst lieutenant ; lieutenant junior grade ; lieutenant ; sublieutenant ; flying officer ,," F.lieutenant, lieutenant de corvette première classe",
ttjl,车子,cv,chē zǐ ,, small vehicle ; car ; bike,, F.petit v閔icule ; voiture,
ttjq,中将,zj,zhōng jiāng ,, lieutenant general ; air marshal ; vice admiral,," F.lieutenant général, vice-amiral ",
ttjq,中学,zx,zhōng xué ,, middle school       ,," F.lycée, collège ; école secondaire",
ttjq,中游,zy,zhōng yóu ,, middle reaches ; the state of being middling,, F.cours moyen ; médiocrité,
ttjt,幸存,xi,xìng cún ,, survive,, F.survivre,
ttjt,幸好,xh,xìng hǎo ,, frortunately ; luckily,, F.heureusement ; bonne fortune ; par bonheur,
ttjt,中毒,zd,zhōng dú ,, poisoning ; toxicosis,," F.être empoisonné, intoxiqué ; empoisonnement",
ttki,中餐,zi,zhōng cān ,, chinese meal ; Chinese food,, F.cuisine chinoise ; déjeuner,
ttkt,婶娘 ,sng,shěn niáng  ,,aunt ; wife of father's younger brother,, F.tante,
ttkt,中农,zn,zhōng nóng ,, middle peasant,, F.paysan moyen,
ttl,丰碑,fb,fēng bēi ,,monument,, F.Monument,
ttlg,中签,zq,zhōng qiān ,,  be the lucky number,, F.gagner au tirage au sort,
ttlg,中医,zy,zhōng yī ,, traditional Chinese medical science ; doctor of traditional Chinese medicine ; practitioner of Chinese medicine,, F.médecine chinoise ; médecin chinois,
ttli,聋哑,ly,lóng yǎ ,, deaf and dumb ; deaf-mute,, F.sourd-muet,
ttli,中止,zz,zhōng zhǐ ,, discontinue ; suspend ; break off,, F.interrompre ; suspendre ; laisser en suspens ; s'arrêter ; cesser ; ,
ttlj,坪,基础,つぼ,,foundation of a building ; foundation ; basis,," F.base, fondement",
ttlj,軒,轩,ケン、のき,,imposing,, F.imposant,
ttll,捍卫,hw,hàn wèi ,, defend ; guard ; protect,, F.garder ; défendre ; protéger,
ttll,中继,zj,zhōng jì ,, relay,," F.relais, relayer",
ttll,中卫,zw,zhōng wèi ,, center halfback,," F.demi centre, arrière central",
ttlq,中立,zl,zhōng lì ,, neutrality,, F.neutre ; neutralité,
ttlt,牵扯,qc,qiān chě ,, involve ; implicate ; drag in,, F.entraîner ; s'engager dans ; impliquer ; diversion,
ttlt,中枢,zs,zhōng shū ,, center,, F.pivot central ; centre ; noyau ,
ttlx,轩,x,xuān ,,imposing,, F.imposant,
ttmg,草原,iy,cǎo yuán ,, lawn ; grasslands,, F.steppe ; prairie,
ttmi,苹果,pg,píng guǒ ,, apple,, F.pomme ,
ttml,车票,cp,chē piào ,, train or bus ticket ; ticket,," F.billet de chemin de fer ; ticket de métro, de bus",
ttml,中原,zy,zhōng yuán ,, central Plains,, F.plaines centrales (de la Chine),
ttmq,草案,ia,cǎo àn ,, draft,, F.projet ; ébauche d'un projet,
ttmt,草木,im,cǎo mù ,, plants,, F.plantes ; végétaux,
ttmt,荤菜,hi,hūn cài ,, meat dishes,, F.plat de viande ; alimentation carnée,
ttmt,择菜,vi,zé cài ,, trim vegetables for cooking,," F.éplucher ; éplucher, parer les légumes",
ttmt,中标,zb,zhōng biāo ,,  be shotted,, F.être choisi comme soumissionnaire par adjudication,
ttmt,中东,zd,zhōng dōng ,,  the Middle East,, F.Moyen-Orient,
ttng,草稿,ig,cǎo gǎo ,, rough draft ; draft,, F.brouillon ; esquisse ; ébauche,
ttni,车间,cj,chē jiān ,, workshop ; shop,, F.atelier,
ttni,中间,zj,zhōng jiān ,, among ; between ; center ; middle ; intermediate,, F.intermédiaire ; au milieu ; au sein de ,
ttnl,幸而,xr,xìng ér ,, luckily ; fortunately,, F.par bonheur ; par chance ; heureusement,
ttnq,车祸,ch,chē huò ,, traffic accident ; road accident ; automobile accident,, F.accident de voiture ou de chemin de fer ; accident de la circulation,
ttnq,择席  ,vx,zé xí   ,,be unable to sleep well in a new place,, F.avoir du mal à bien dormir dans un endroit inconnu,
ttnt,车辆,cl,chē liàng ,, vehicle ; car,, F.chars ; voitures ; véhicules,
ttof,择吉  ,vj,zé jí   ,, pick an auspicious day,," F.choisir un bon jour, un jour faste  ",
ttog,车胎,ct,chē tāi ,, tyre,, F.pneu ; chambre à air ; pneumatique,
ttoo,辛辛苦苦,xxkk,xīn xīn kǔ kǔ ,, take a lot of trouble ; take great pains ; work laboriously,, F.se donner du mal ; prendre beaucoup de peine,
ttoq,车站,cz,chē zhàn ,, railway station ; bus-stop,, F.Gare ; station,
ttpg,奉命,fm,fèng mìng ,, receive orders ; act under orders,, F.recevoir un ordre ; par ordre de ; agir sur ordre,
ttpg,革命,gm,gé mìng ,, revolution,, F.révolution ; révolutionnaire,
ttq,干什么,gsm,gàn shí me ,, why on earth ; whatever for ; what to do,, F.que faire ; pourquoi,
ttq,牵,q,qiān ,,"(of persons, cattle)",," F.tirer, mener",
ttqg,中外,zw,zhōng wài ,, china and foreign countries ; at home and abroad,, F.la Chine et l'étranger,
ttqi,中层,zi,zhōng céng ,, middle-level,, F.couche intermédiaire,
ttql,牵强,qq,qiān qiáng ,," frorced interpretation, etc. ; farfetched",, F.forcé ; peu naturel ; tiré par les cheveux,
ttqq,申诉,su,shēn sù ,, appeal,, F.porter plainte ; intenter un procès,
ttqs,摔,s,shuāi ,, frall ; drop and break ,," F.jeter avec force, tomber",
ttqt,掉转,dz,diào zhuǎn ,, turn round,, F.retourner,
ttqt,中专,zz,zhōng zhuān ,, special high shcool,, F.école secondaire spécialisée,
ttqt,中转,zz,zhōng zhuǎn ,, change trains,, F.transit,
ttrg,挥发,hf,huī fā ,, volatilize,," F.se volatiliser, volatilisation",
ttrg,中饭,zf,zhōng fàn ,, midday meal ; lunch,, F.déjeuner,
ttrq,中波,zb,zhōng bō ,, medium wave,, F.ondes moyennes,
ttrt,择友   ,vy,zé yǒu    ,, choose friends,, F.choisir des amis ,
tts,申,s,shēn ,, defend oneself ; ,, F.exposer ; informer par écrit ; réitérer un ordre ; avec insistance,
tts,聲,s,shēng ,, sound ; voice,, F.son ; bruit ; voix ; émettre un son ; musique ; renommée ; nouvelle,
tts,中草药,ziy,zhōng cǎo yào ,, chinses herbal medicine,, F.herbes médicinales chinoises,
tts,中午的,zwd,zhōng wǔ de ,,Noon,, F.Midi,
ttsi,中旬,zx,zhōng xún ,, the middle ten days of a month,, F.la seconde décade du mois,
ttsl,幸亏,xk,xìng kuī ,, frortunately ; luckily ,, F.heureusement ; par bonheur ; par chance,
ttsl,斟酌     ,zz,zhēn zhuó      ,,consider ; deliberate,, F.considérer ; délibérer ; peser ; penser ; examiner ,
ttsq,押韵,yy,yā yùn ,,"jingle, pun, rhyme, rhyming, scan",, F.rimer,
ttst,草药,iy,cǎo yào ,, medicinal herbs,, F.plante médicinale,
ttst,捧场,pc,pěng chǎng ,, be a member of a claque,, F.applaudir ; encourager ; appuyer ; soutenir ; flatter,
ttst,中考,zk,zhōng kǎo ,,entrance examination for senior-level middle school,, F.examen d'entrée à l'enseignement secondaire,
ttst,中期,zq,zhōng qī ,, mid-term ; medium term,," F.terme moyen, mi-terme",
ttst,中药,zy,zhōng yào ,, traditional Chinese medicine,, F.médicaments traditionnels chinois,
tttb,棒,b,bàng ,, good ; fine ; excellent ; strong,, F.baguette ; gourdin ; fort ; épatant ; bien,
tttg,车牌 ,cp,chē pái  ,,vehicle's brand,, F.marque d'une véhicule,
tttg,挥舞,hw,huī wǔ ,, wave ; wield ; brandish,," F. agiter, brandir",
tttg,押解,yj,yā jiě ,, send away under escort,, F.transférer ; conduire sous escorte,
tttg,中午,zw,zhōng wǔ ,, midday ; noon       ,, F.midi,
ttti,干旱,gh,gàn hàn ,, arid ; dry,, F.sécheresse ; aride ; sec,
tttj,棒,棒,ボウ,, good ; fine ; excellent ; strong,, F.baguette ; gourdin ; fort ; épatant ; bien,
tttj,韓 ,韩国,カン,,Korea,, F.Corée,
tttj,枠,相框,わく,,Photo Frame,, F.Photo Frame,
tttl,中弹,zd,zhōng dàn ,, be struck by a bullet ; get shot,, F.être atteint d'une balle,
tttq,草率,il,cǎo lǜ ,, careless ; perfunctory,, F.baclé ; négligé ; à la légère ; négligemment,
tttq,车库,ck,chē kù ,, garage,, F.garage ; remise ; hangar,
tttq,申辩,sb,shēn biàn ,, defend oneself ; explain oneself ; argue one's case,, F.se défendre ; se justifier,
tttq,中计,zj,zhōng jì ,, be trapped ; be victimized by a scheme,," F.tomber dans un traquenard, dans un piège",
ttuk,中山装,zsz,zhōng shān zhuāng ,, chinese tunic suit Sun Yat Sen Style,, F.costume traditionnel chinois à la Sun Yat Sen,
ttul,中国,zg,zhōng guó ,, china,, F.Chine,
ttul,中西,zx,zhōng xī ,, chinese and Western,, F.la Chine et l'Occident,
ttuq,幸福,xf,xìng fú ,, happiness ; happy ; well-being,, F.heureux ; bonheur ; bien-être,
ttuq,斟酒,zj,zhēn jiǔ ,,Sommelier,, F.Sommelier,
ttut,抨击,pj,pēng jī ,, attack in speech or writing ; assail ; lash out at ; flay,, F.critiquer ; accuser,
ttvl,中线,zx,zhōng xiàn ,, central line ; center line ; halfway line,, F.ligne médiane ; médiane,
ttvt,中式,zs,zhōng shì ,, chinese style,, F.style chinois,
ttwg,申冤,sy,shēn yuān ,, redress an injustice ; right a wrong ; appeal for redress of a wrong,," F.faire redresser une injustice, un tort ; disculper",
ttwg,幸免,xm,xìng miǎn ,,escape by sheer luck ; have a narrow escape,," F.l'échapper belle ; échapper par chance, de justesse",
ttwg,择优    ,vy,zé yōu     ,, choose the best ; pick out the best,, F.choisir les meilleurs  ,
ttwq,中流,zl,zhōng liú ,, midstream,, F.au milieu du courant ; moyen,
ttwt,中风,zf,zhōng fēng ,,  apoplexy,, F.être atteint d'apoplexie ; apoplexie,
ttx,幸,x,xìng ,, good fortune ; good luck ; rejoice ; fortunately ; luckily ; pray,, F.bonheur ; honneur ; heureusement ; par bonheur,
ttxi,摔跤,sj,shuāi jiāo ,, tumble ; trip and fall ; trip up ; come a cropper ; blunder,, F.lutter corps à corps ; lutter à main plate ; enlaçage de jambe ; ,
ttxl,中级,zj,zhōng jí ,, middle rank ; intermediate,," F.niveau moyen, échelon intermédiaire",
ttxq,中文,zw,zhōng wén ,, the Chinese language        ,, F.le chinois ; langue chinoise,
ttxt,中校,zx,zhōng xiào ,, lieutenant colonel ; commander ; wing commander,," F.lieutenant-colonel, capitaine de frégate",
ttyl,掉队,dd,diào duì ,, drop out ; drop off ; fall behind,," F.rester en arrière, à la traîne",
ttyl,中队,zd,zhōng duì ,, detachment,, F.escadron ; escadrille ; escadre,
ttyq,车次,ci,chē cì ,, train number ; motorcoach number,, F.numéro du train,
ttyq,掉头,dt,diào tóu ,, turn round ; turn about,, F.tourner la tête ; se retourner ; être décapité ; faire demi-tour,
ttyq,中奖,zj,zhōng jiǎng ,, draw a prizewinning ticket in a lottery ; get the winning number in a bond,, F.gagner un lot ; tirer le numéro gagnant,
ttyt,掉换,dh,diào huàn ,,exchange ; change ; swap,, F.changer ; échanger,
ttyt,奉献,fx,fèng xiàn ,, offer as a tribute ; present with all respect,," F.offrir, présenter avec respect ; faire don",
ttyt,押款,yk,yā kuǎn ,, borrow money on security ; a loan on security,, F.emprunter sur gage ; emprunt sur gage,
ttyt,中央,zy,zhōng yāng ,, center ; middle ; central authorities,, F.centre,
ttz,中,z,zhōng ,, center ; middle ; China ; in among ; amidst ; medium ; mean ; halfway between two extremes ; intermediary ; fit for ; in the process of ,," F.milieu, centre, en, dans, à, moyen, Chine",
ttzg,中途,zt,zhōng tú ,, halfway ; midway,, F.à mi-chemin ; à mi-route ; chemin faisant,
ttzg,中选,zx,zhōng xuǎn ,, be chosen ; be selected,," F.être choisi, sélectionné",
ttzl,串通,ct,chuàn tōng ,, gang up ; collaborate ; collude with ; be in collusion with,," F.se ménager des intelligences, des complicités ; être de mèche ;collusion ; connivence ",
ttzl,奉还,fh,fèng huǎn,, return sth. With tanks,," F.rendre qch. avec des remerciements, avec gratitude",
ttzl,幸运,xy,xìng yùn ,, good fortune ; good luck ; fortunate ; lucky,, F.bonne fortune ; chance ; heureux,
ttzl,押运,yy,yā yùn ,,escort in transportation,, F.convoyer des marchandises,
ttzq,奉送,fu,fèng sòng ,, offer as a gift ; give away free,, F.offrir en présent ; faire don de qch.,
ttzq,押送,yu,yā sòng ,,escort ; send under escort,, F.convoyer ; escorter ; conduire sous escorte,
ttzt,车速,cu,chē sù ,, speed of a motor vehicle,, F.vitesse d'un véhicule,
ttzt,牵连,ql,qiān lián ,, involve in trouble ; implicate ; tie up with,, F.impliquer dans une affaire ; compromettre qn. ; mettre en cause,
ttzt,中速,zu,zhōng sù ,, moderate speed,, F.vitesse moyenne,
tug,十四,su,shí sì ,, frourteen ,, F.quatorze,
tuhk,千山万水,qsws,qiān shān wàn shuǐ ,, numerous mountains and rivers ; a long and arduous journey,, F.des milliers de montagnes et de rivières ; voyage long et pénible ; ,
tuhz,中国制造,zgzv,zhōng guó zhì zào ,, made in China,, F.Fabriqué en Chine,
tuq,丰富,ff,fēng fù ,, rich ; enrich       ,, F.riche ; abondant ; fécond,
tuwr,神出鬼没,scgm,shén chū guǐ méi ,, come and go like a ghost,, F.mouvement d'une rapidité déconcertante,
tvw,抖威风,dwf,dǒu wēi fēng ,, throw one's weight about,, F.faire l'important (de l'esbrouffe),
tvzed,肿成这样有多久了？,txhdy,tā xǐ huān diào yú ,hlhib, How long has it been swollenlike that?,dcdte, F.Depuis combien de temps est ce aussi gonflé.,
twa,解说员,jsy,jiě shuō yuán ,, send under guard,, F.envoyer (un prisonnier) sous escorte,
twah,神魂颠倒,shdd,shén hún diān dǎo ,, be in infatuated,," F.être ravi, transporté ; aimer éperdument, à en perdre la tête ; ",
twgi,神机妙算,sjmu,shén jī miào suàn ,," wonderful foresight in military, operations, etc.",, F.stratagème merveilleux ; prédiction étonnante,
twgt,肆无忌惮,uwjd,sì wú jì dàn ,,unbridled ; brazen ; unscrupulous ; ,, F.laisser toute retenue ; suivre toutes ses fantaisies ; tout se permettre ; sans scrupule,
twj,干儿子,grv,gàn ér zǐ ,, adopted son,, F.fils adoptif,
twkr,择优录取     ,vylq,zé yōu lù qǔ      ,,enroll only those who are outstanding ; ,, F.mérite,
twozj,早就知道了还用你说,vjzdl,zǎo jiù zhī dào le hái yòng nǐ shuō ,wakwy,we already know without you say,nlsda, F.Nous le savions déjà avant que vous ne le dites,
twt,十九,sj,shí jiǔ ,, nineteen ,, F.dix-neuf,
twve,中流砥柱,zldz,zhōng liú dǐ zhù ,, frirm rock in midstream ; main stay,, F.(ferme comme) un roc qui tient bon au milieu du torrent ; pilier ; ,
txq,评议会,pxq,píng yì huì ,,council,, F.conseil,
tya,半决赛,bju,bàn jué sài ,, semifinals,, F.demi-finale,
tyff,举足轻重,jvqz,jǔ zú qīng zhòng ,, hold the balance ; play a decisive,, F.décision qui fait pencher la balance d'un côté ou de l'autre,
tyfq,卖座,mv,mài zuò ,, draw large audiences ; attract large numbers of customers,, F.attirer de nombreux spectateurs ; être un succès,
tyi,十足,sv,shí zú ,,100 percent,, F.complet ; accompli ; parfait ; cent pour cent,
tyin,耸人听闻,urtw,sǒng rén tīng wén ,, deliberately exaggerate so as to create a sensation,, F.piquer l'attention des auditeurs,
tym,单人床,drc,dān rén chuáng ,, single bed,, F.lit d'une personne,
tyqn,晕头转向,ytzx,yūn tóu zhuǎn xiàng ,,confused and disoriented,, F.être étourdi ; s'y perdre ; ne plus savoir où on en est,
tyrw,种族歧视,zvqs,zhǒng zú qí shì ,,  racial discrimination,, F.discrimination raciale,
tytf,平起平坐,pqpv,píng qǐ píng zuò ,,sit as equals at the same table; be on an equal footing,, F.sur un pied d'égalité,
tzh,十进制,sjz,shí jìn zhì ,, the decimal system ; decimalism,, F.système décimal,
tzjt,弹道导弹,dddd,dàn dào dǎo dàn ,, ballistic missile,," F.engin, missile balistique",
tznr,半途而废,btrf,bàn tú ér fèi ,, leave sth. unfinished ; give up halfway,, F.s'arrêter à mi-chemin,
tznr,中道而废,zdrf,zhōng dào ér fèi ,, stop halfway,, F.s'arrêter à mi-chemin ,
tzw,耳边风,ebf,ěr biān fēng ,,unheeded advice ; a puff of wind passing the ear,, F.laisser entrer par une oreille et sortir par une autre,
uanv,摇旗呐喊 ,yqh,yáo qí nà hǎn  ,,wave flags and shout battle cries,, F.faire une publicité tapageuse,
ucc,蓄电池,xdc,xù diàn chí ,, storage battery ; accumulator,, F.accumulateur ; batterie,
uccb,面色苍白,muib,miàn sè cāng bái ,, look pale,," F.air pâle ; teint blafard, blême, livide",
uchp,因地制宜   ,ydzy,yīn dì zhì yí    ,,suit measures to local conditions,, F.prendre des mesures en fonction des conditions locales,
ucjw,由此可见  ,yikj,yóu cǐ kě jiàn   ,,thus it can seen ; this shows ; that proves,, F.on voit par là que ; de là il ressort que; il s'ensuit que; d'où suit que,
uckj,烟花爆竹,yhbz,yān huā bào zhú ,,firecrackers,, F.Feux d'artifice,
uckqq,曲棍球,qq,qǔ gùn qiú ,, frield hockey,, F.hockey,
ucpc,烟花柳巷,yhlx,yān huā liǔ xiàng ,, brothels,, F.quartier des maisons closes,
ucqd,画龙点睛,hldj,huà lóng diǎn jīng ,, bring the painted dragon to life by putting in the pupils of its eyes ; add the touch that brings a work of art to life ; add the finishing touch ; add a word or two to clinch the point,, F.la dernière touche ,
ucqy,画蛇添足,hstv,huà shé tiān zú ,, draw a snake and add feet to it ; ruin the effect by ,, F.superfétation ; amplification inutile,
ucyby,西北走廊是这个国家火车旅行最繁忙的区域,xbvls,xī běi zǒu láng shì zhè gè guó jiā huǒ chē lǚ háng zuì fán máng de qū yù ,tncit, The Northeast corridor is the busiest section of the country for train travel.,lnelsl, F.Le Nord est la section la plus achalandée du pays pour Voyage en train.,
udc,国有化,gyh,guó yǒu huà ,, nationalization,, F.nationalisation,
udll,国有企业,gyqy,guó yǒu qǐ yè ,,enterprises owned by the whole people,, F.entreprises aux mains de l'ensemble du peuple,
udqx,烟消云散,yxyu,yān xiāo yún sàn ,, vanish like mist and smoke ; completely vanish,, F.s'évanouir en fumée ; se dissiper comme un nuage,
udu,圆明园  ,ymy,yuán míng yuán   ,,Winter palace,, F.Palais d'Hiver - le Yuanmingyuan,
ueb,出洋相,cyx,chū yáng xiàng ,, make an exhibition of oneself,, F.se donner en spectacle ; se rendre ridicule ; s'attirer des moqueries,
ueg,西洋参,xyi,xī yáng cān ,, american ginseng,, F.ginseng américain,
ueo,牺牲品,xsp,xī shēng pǐn ,, victim ; prey,, F.victime ; proie,
ufdn,油腔滑调  ,yqhd,yóu qiāng huá diào   ,,glib ; unctuous ; have a smooth,, F.dire de belles paroles ; fallacieux ; prendre un ton mielleux,
ugb,备,b,bèi ,,be equipped with ; have ; prepare ; get ready ; provide against ;prepare against ; take precautions against ; equipment ; fully ;in every possible way in every possible way ,, F.préparer ; équiper ; se munir ; se pourvoir ; apprêter ; prémunir contre  équipement ; armement,
ugbg,四邻,ul,sì lín ,, one's near neighbors,, F.tout le voisinage ; voisins,
ugbg,胭脂,yz,yān zhī ,, rouge ; kermes,, F.fard rouge ; rouge à joue,
ugc,岔,c,chà ,, branch off ; turn off ; accident ; trouble,, F.bifurcation ; embranchement ; bifurquer ; détourner la conversation ; ,
ugct,囚犯,qf,qiú fàn ,, prisoner ; convict,, F.prisonnier ; criminel,
ugd,备用,by,bèi yòng ,, reserve ; spare ; alternate,, F.de rechange ; de réserve,
ugd,四月,uy,sì yuè ,, april,, F.avril ,
ugeg,牺牲,xs,xī shēng ,, a beast slaughtered for sacrifice ; sacrifice ; sacrifice oneself ; die a martyr's death ; lay down one's life ; sacrifice ; give up do sth. at the expense of; ,," F.se sacrifier, mourir",
ugeq,备注,bz,bèi zhù ,,Remark,, F.Remarque,
uget,图样,ty,tú yàng ,, pattern ; design ; draft ; drawing,, F.dessin ; plan ; croquis ; schéma ; épure,
ugf,番,f,fān ,, designation (of a military unit),, F.désignation ou numéro (d'une unité) ; numéro matricule,
ugf,烟土,yt,yān tǔ ,, crude opium,, F.opium brut,
ugfg,烟尘,yc,yān chén ,," soot, dust",, F.cendre,
uggg,留念,ln,liú niàn ,, accept or keep as a souvenir,, F.garder comme souvenir,
uggj,稲,稻谷,トウ、いね、（いな）,, paddy,, F.paddy ; riz non décortiqué,
uggl,图形,tx,tú xíng ,, graph ; figure,, F.croquis ; esquisse ; figure,
uggq,留恋,ll,liú liàn ,, be reluctant to leave (a place) ; can't bear to part ; recall with nostalgia,, F.être attaché passionnément à ; s'accrocher à,
uggq,烟瘾,yy,yān yǐn ,, a craving for tobacco ,," F.obsession, besoin de fumer ; opiomanie",
uggt,四声,us,sì shēng ,, the four tones of classical Chinese phonetics ; ,, F.4 tons de la langue chinoise parlée (mandarin),
ughg,脑筋,nj,nǎo jīn ,, brains ; mind ; head ; ideas,, F.réflexion ; cerveau ; cervelle ; esprit ; tête,
ugho,蓄意伤害,xysh,xù yì shāng hài ,, wounding with intent,," F.blesser à dessein, délibérément",
ughq,四方,uf,sì fāng ,, the four directions ; all sides ; all quarters ; cubic,, F.quatre points cardinaux ; carré ; cubique,
ught,图书,ts,tú shū ,, books in general,, F.cartes et livres,
ugig,馅饼,xb,xiàn bǐng ,, meat pie,, F.crêpe ; farce,
ugj,笛,口哨,テキ、ふえ,,Whistle,, F.Sifflet,
ugj,番,番,バン,, designation (of a military unit),, F.désignation ou numéro (d'une unité) ; numéro matricule,
ugj,缶,瓦罐,カン,,crock,, F.Cruche,
ugj,箇,个,カ,,one,, F.un,
ugj,臼,j,jiù ,,mortar,, F.Mortier,
ugj,臼,臼,キュウ、うす,,mortar,, F.Mortier,
ugj,留,残留,リュウ、（ル）、と-める、と-まる,, remain ; be left over,, F.rester,
ugj,囚,囚犯,シュウ,, prisoner ; convict,, F.prisonnier ; criminel,
ugj,四,四,シ、よ、よ-つ、よっ-つ、よん,, frour ,, F.quatre,
ugj,仙,一分钱,セン,,penny,, F.Penny,
ugj,岳,五岳,ガク、たけ,,Five Sacred Mountains,, F.Cinq montagnes sacrées,
ugjg,四季,uj,sì jì ,, the four seasons,, F.Quatre saisons,
ugjg,图利,tl,tú lì ,, desire to make money or profit ; plan to make money,, F.rechercher le gain,
ugji,岳母  ,ym,yuè mǔ   ,, wife's mother ; mother-in-law,, F.belle-mère (mère de l'épouse),
ugjl,笛子,dv,dí zǐ ,, bamboo flute ,, F.flûte ; fifre,
ugjl,脑子,nv,nǎo zǐ ,, brain ; brains ; mind ; head,, F.cerveau ; cervelle ; esprit ; tête,
ugjl,钳子,qv,qián zǐ ,, pincers ,," F.tenaille, pince ",
ugjm,山珍海味,szhw,shān zhēn hǎi wèi ,, delicacies from land and sea ; dainties of every kind,, F.mets recherchés ; mets exquis et rares,
ugjq,留学,lx,liú xué ,, study abroad,, F.étudier à l'étranger,
ugjq,脑海,nh,nǎo hǎi ,, brain ; mind,, F.cervelle ; esprit ; idée ; mémoire,
